列 qd14 最大值所在的行: ['400602', '2', '葬送のフリーレン', '葬送的芙莉莲']
列 qd15 最大值所在的行: ['10639', '2', 'Fate/Zero', 'Fate/Zero']
列 qd16 最大值所在的行: ['160209', '2', '君の名は。', '你的名字。']
列 qd17 最大值所在的行: ['160209', '2', '君の名は。', '你的名字。']
列 qd18 最大值所在的行: ['10639', '2', 'Fate/Zero', 'Fate/Zero']
列 qd19 最大值所在的行: ['10639', '2', 'Fate/Zero', 'Fate/Zero']
列 qd20 最大值所在的行: ['55770', '2', '進撃の巨人', '进击的巨人']
列 qd21 最大值所在的行: ['328609', '2', 'ぼっち・ざ・ろっく！', '孤独摇滚！']
列 qd22 最大值所在的行: ['29648', '2', '中二病でも恋がしたい！', '中二病也要谈恋爱！']
列 qd23 最大值所在的行: ['29648', '2', '中二病でも恋がしたい！', '中二病也要谈恋爱！']
列 qd24 最大值所在的行: ['29648', '2', '中二病でも恋がしたい！', '中二病也要谈恋爱！']
列 qd25 最大值所在的行: ['23686', '2', 'ソードアート・オンライン', '刀剑神域']
列 qd26 最大值所在的行: ['29648', '2', '中二病でも恋がしたい！', '中二病也要谈恋爱！']
列 qd27 最大值所在的行: ['329906', '2', 'SPY×FAMILY', '间谍过家家']
列 qd28 最大值所在的行: ['329906', '2', 'SPY×FAMILY', '间谍过家家']
列 qd29 最大值所在的行: ['120925', '2', 'Charlotte', '夏洛特']
列 qd30 最大值所在的行: ['120925', '2', 'Charlotte', '夏洛特']
列 qd31 最大值所在的行: ['120925', '2', 'Charlotte', '夏洛特']
列 qd32 最大值所在的行: ['172498', '2', 'エロマンガ先生', '埃罗芒阿老师']
列 qd33 最大值所在的行: ['364450', '2', 'リコリス・リコイル', '莉可丽丝']
列 qd34 最大值所在的行: ['364450', '2', 'リコリス・リコイル', '莉可丽丝']
列 qd35 最大值所在的行: ['364450', '2', 'リコリス・リコイル', '莉可丽丝']
列 qd36 最大值所在的行: ['214272', '2', 'ようこそ実力至上主義の教室へ', '欢迎来到实力至上主义教室']
列 qd37 最大值所在的行: ['214272', '2', 'ようこそ実力至上主義の教室へ', '欢迎来到实力至上主义教室']
列 qd38 最大值所在的行: ['214272', '2', 'ようこそ実力至上主義の教室へ', '欢迎来到实力至上主义教室']
列 qd39 最大值所在的行: ['364450', '2', 'リコリス・リコイル', '莉可丽丝']
列 qd40 最大值所在的行: ['425909', '2', '夜のクラゲは泳げない', '夜晚的水母不会游泳']
列 qd41 最大值所在的行: ['425909', '2', '夜のクラゲは泳げない', '夜晚的水母不会游泳']
列 qd42 最大值所在的行: ['413741', '2', '16bitセンセーション ANOTHER LAYER', '16bit的感动 ANOTHER LAYER']
列 qd43 最大值所在的行: ['292238', '2', 'ソードアート・オンライン アリシゼーション War of Underworld -THE LAST SEASON-', '刀剑神域 爱丽丝篇 异界战争 -终章-']
列 qd44 最大值所在的行: ['292238', '2', 'ソードアート・オンライン アリシゼーション War of Underworld -THE LAST SEASON-', '刀剑神域 爱丽丝篇 异界战争 -终章-']
列 qd45 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd46 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd47 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd48 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd49 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd50 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd51 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd52 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd53 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd54 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd55 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd56 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd57 最大值所在的行: ['163046', '2', '迷家-マヨイガ-', '迷家']
列 qd58 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd59 最大值所在的行: ['163046', '2', '迷家-マヨイガ-', '迷家']
列 qd60 最大值所在的行: ['163046', '2', '迷家-マヨイガ-', '迷家']
列 qd61 最大值所在的行: ['285437', '2', '三体', '三体']
列 qd62 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 qd63 最大值所在的行: ['163046', '2', '迷家-マヨイガ-', '迷家']
